prefix,feature_type,level1,level2,level3,level4,description
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:thirdFloorUsage,,,3階（以上）用途
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:basementUsage,,,地下用途
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:basementFirstUsage,,,地下1階用途
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:basementSecondUsage,,,地下2階用途
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:vacancy,,,空き家区分
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:buildingCoverageRate,,,建蔽率
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:floorAreaRate,,,容積率
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:specifiedBuildingCoverageRate,,,指定建蔽率
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:specifiedFloorAreaRate,,,指定容積率
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:standardFloorAreaRate,,,基準容積率
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:buildingHeight,,,建築物の高さ
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:eaveHeight,,,軒の高さ
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:note,,,備考
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:surveyYear,,,調査年
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,,,,大規模小売店舗等の立地状況
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:class,,,分野
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:name,,,名称
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:capacity,,,収容数
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:owner,,,施設主
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:totalFloorArea,,,総床面積
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:totalStoreFloorArea,,,店舗床面積
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:inauguralDate,,,開業日（開校日）
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:yearOpened,,,開設年
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:yearClosed,,,廃止年
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:keyTenants,,,核テナント
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:availability,,,利用可能性
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:urbanPlanType,,,都市計画区域
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:areaClassificationType,,,区域区分
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:districtsAndZonesType,,,地域地区
bldg,bldg:Building,uro:largeCustomerFacilityAttribute.uro:LargeCustomerFacilityAttribute,uro:landUseType,,,土地利用区分
