モデルの接頭辞,feature_type,tag1,tag2,tag3,tag4,説明：属性名,データ型,同モデル内の日本語名 重複チェック,,feature_type+tag1+tag2+tag3+tag4,重複チェック,同モデル内の重複チェック,,属性名（1）_抽出,属性名（2）_抽出,属性名（3）_抽出,属性名（4）_抽出
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:secondFloorUsage,,,2階（以上）用途,,,,bldg:Buildinguro:BuildingDetailAttributeuro:secondFloorUsage,,,,uro:BuildingDetailAttribute,uro:secondFloorUsage,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:thirdFloorUsage,,,3階（以上）用途,,,,bldg:Buildinguro:BuildingDetailAttributeuro:thirdFloorUsage,,,,uro:BuildingDetailAttribute,uro:thirdFloorUsage,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:basementUsage,,,地下用途,,,,bldg:Buildinguro:BuildingDetailAttributeuro:basementUsage,,,,uro:BuildingDetailAttribute,uro:basementUsage,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:basementFirstUsage,,,地下1階用途,,,,bldg:Buildinguro:BuildingDetailAttributeuro:basementFirstUsage,,,,uro:BuildingDetailAttribute,uro:basementFirstUsage,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:basementSecondUsage,,,地下2階用途,,,,bldg:Buildinguro:BuildingDetailAttributeuro:basementSecondUsage,,,,uro:BuildingDetailAttribute,uro:basementSecondUsage,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:vacancy,,,空き家区分,,,,bldg:Buildinguro:BuildingDetailAttributeuro:vacancy,,,,uro:BuildingDetailAttribute,uro:vacancy,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:buildingCoverageRate,,,建蔽率,,,,bldg:Buildinguro:BuildingDetailAttributeuro:buildingCoverageRate,,,,uro:BuildingDetailAttribute,uro:buildingCoverageRate,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:floorAreaRate,,,容積率,,,,bldg:Buildinguro:BuildingDetailAttributeuro:floorAreaRate,,,,uro:BuildingDetailAttribute,uro:floorAreaRate,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:specifiedBuildingCoverageRate,,,指定建蔽率,,,,bldg:Buildinguro:BuildingDetailAttributeuro:specifiedBuildingCoverageRate,,,,uro:BuildingDetailAttribute,uro:specifiedBuildingCoverageRate,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:specifiedFloorAreaRate,,,指定容積率,,,,bldg:Buildinguro:BuildingDetailAttributeuro:specifiedFloorAreaRate,,,,uro:BuildingDetailAttribute,uro:specifiedFloorAreaRate,,
bldg,bldg:Building,uro:buildingDetailAttribute.uro:BuildingDetailAttribute,uro:standardFloorAreaRate,,,基準容積率,,,,bldg:Buildinguro:BuildingDetailAttributeuro:standardFloorAreaRate,,,,uro:BuildingDetailAttribute,uro:standardFloorAreaRate,,
